trade_id,symbol,price,volume,pct_change,circuit_alert,timestamp
1,ICICIBANK,1213.55,781,0.29,NORMAL,2026-09-20 12:22:55
2,ITC,488.85,1789,-0.23,NORMAL,2026-09-20 12:22:55
3,ICICIBANK,1209.88,922,-0.01,NORMAL,2026-09-20 12:22:56
4,ITC,487.87,614,-0.43,NORMAL,2026-09-20 12:22:56
5,TATAMOTORS,981.46,1368,0.15,NORMAL,2026-09-20 12:22:57
6,SBIN,822.09,1598,0.25,NORMAL,2026-09-20 12:22:57
7,LT,3628.65,1326,0.24,NORMAL,2026-09-20 12:22:57
8,TCS,4131.69,884,0.28,NORMAL,2026-09-20 12:22:58
9,TCS,4137.59,1409,0.43,NORMAL,2026-09-20 12:22:58
10,ITC,489.48,585,-0.11,NORMAL,2026-09-20 12:22:59
11,HDFCBANK,1656.45,1362,0.39,NORMAL,2026-09-20 12:22:59
12,INFY,1818.94,420,-0.06,NORMAL,2026-09-20 12:22:59
13,INFY,1820.44,1318,0.02,NORMAL,2026-09-20 12:23:00
14,HDFCBANK,1654.47,796,0.27,NORMAL,2026-09-20 12:23:00
15,ITC,488.3,1412,-0.35,NORMAL,2026-09-20 12:23:01
16,ICICIBANK,1205.79,1947,-0.35,NORMAL,2026-09-20 12:23:01
17,TCS,4126.46,90,0.16,NORMAL,2026-09-20 12:23:01
18,TATAMOTORS,1035.44,515,5.66,TRIGGERED,2026-09-20 12:23:02
19,TCS,4137.12,538,0.42,NORMAL,2026-09-20 12:23:02
20,SBIN,825.33,1181,0.65,NORMAL,2026-09-20 12:23:03
21,LT,3619.81,70,-0.01,NORMAL,2026-09-20 12:23:03
22,ITC,489.81,1571,-0.04,NORMAL,2026-09-20 12:23:03
23,HDFCBANK,1652.31,1804,0.14,NORMAL,2026-09-20 12:23:04
24,BHARTIARTL,1489.6,311,-0.03,NORMAL,2026-09-20 12:23:04
25,TCS,4128.47,1698,0.21,NORMAL,2026-09-20 12:23:05
26,TATAMOTORS,1039.44,1310,6.07,TRIGGERED,2026-09-20 12:23:05
27,LT,3620.35,132,0.01,NORMAL,2026-09-20 12:23:05
28,TATAMOTORS,1037.4,589,5.86,TRIGGERED,2026-09-20 12:23:06
29,ITC,490.45,1616,0.09,NORMAL,2026-09-20 12:23:06
30,TCS,4117.15,360,-0.07,NORMAL,2026-09-20 12:23:07
31,TCS,4106.48,457,-0.33,NORMAL,2026-09-20 12:23:07
32,LT,3608.91,531,-0.31,NORMAL,2026-09-20 12:23:07
33,ITC,517.42,1455,5.6,TRIGGERED,2026-09-20 12:23:08
34,ITC,518.72,550,5.86,TRIGGERED,2026-09-20 12:23:08
35,ITC,520.2,1622,6.16,TRIGGERED,2026-09-20 12:23:09
36,INFY,1820.01,29,0.0,NORMAL,2026-09-20 12:23:09
37,SBIN,827.02,1102,0.86,NORMAL,2026-09-20 12:23:09
38,TCS,4106.92,1691,-0.32,NORMAL,2026-09-20 12:23:10
39,HDFCBANK,1647.41,1102,-0.16,NORMAL,2026-09-20 12:23:10
40,RELIANCE,2969.75,775,-0.34,NORMAL,2026-09-20 12:23:11
41,ICICIBANK,1207.25,532,-0.23,NORMAL,2026-09-20 12:23:11
42,ITC,519.67,182,6.06,TRIGGERED,2026-09-20 12:23:11
43,BHARTIARTL,1484.09,852,-0.4,NORMAL,2026-09-20 12:23:12
44,BHARTIARTL,1484.04,510,-0.4,NORMAL,2026-09-20 12:23:12
45,ICICIBANK,1206.96,807,-0.25,NORMAL,2026-09-20 12:23:13
46,ITC,520.57,1342,6.24,TRIGGERED,2026-09-20 12:23:13
